,title,num_reviews,rating
0,100 Days of Code: The Complete Python Pro Bootcamp for 2022,148797,4.6986513
1,2022 Complete Python Bootcamp From Zero to Hero in Python,439689,4.6044774
2,Complete Python Developer in 2023: Zero to Mastery,41841,4.6551814
3,Learn Python Programming Masterclass,94251,4.5604386
4,Python for Data Science and Machine Learning Bootcamp,122298,4.612513
5,The Python Mega Course: Build 10 Real World Applications,59301,4.6114855
6,The Complete Python Course | Learn Python by Doing in 2022,18259,4.6113105
7,Python for Absolute Beginners,23208,4.488447
8,Python for beginners,21084,4.4013166
9,The Modern Python 3 Bootcamp,27141,4.677723
10,Automate the Boring Stuff with Python Programming,103228,4.658482
11,TOTAL Python: Become an Advanced Python Developer in 16 days,1614,4.6233053
12,Learn to Code with Python,4585,4.661894
13,The Python Bible™ | Everything You Need to Program in Python,43686,4.633777
14,2022 Python for Machine Learning & Data Science Masterclass,9794,4.667564
15,Python and Django Full Stack Web Developer Bootcamp,45227,4.492505
16,Python 3: Deep Dive (Part 1 - Functional),8667,4.7930946
17,The Data Science Course 2022: Complete Data Science Bootcamp,114305,4.612269
18,Python Complete Masterclass for Beginners,4317,4.518039
19,Machine Learning A-Z™: Hands-On Python & R In Data Science,162994,4.5384526
20,Learn Complete Python In Simple Way,4721,4.6876264
21,Learn Python by making games,367,4.8700476
22,Python PCEP: Become Certified Entry-Level Python Programmer,1342,4.6594462
23,Data Analysis with Pandas and Python,18015,4.6198206
24,Python A-Z™: Python For Data Science With Real Exercises!,25008,4.596892
25,One Week Python,1195,4.781282
26,Advanced Python Programming: Build 10 OOP Applications,1988,4.537189
27,Complete Python Programming Masterclass Beginner to Advanced,7367,4.564265
28,Automate Everything with Python,735,4.7107053
29,Python for Finance: Investment Fundamentals & Data Analytics,25155,4.5790586
30,REST APIs with Flask and Python in 2022,18656,4.624553
31,Complete Machine Learning & Data Science Bootcamp 2023,12844,4.608788
32,The Complete Data Structures and Algorithms Course in Python,4701,4.4934335
33,Master Python programming by solving scientific projects,826,4.7678757
34,Make 20 Advanced Level Applications in Python,330,4.5956187
35,Selenium Webdriver with PYTHON from Scratch + Frameworks,11887,4.573025
36,Learn Python: The Complete Python Programming Course,3726,4.305905
37,Python for Beginners,7937,4.512657
38,Learn Pro Advanced Python Programming,448,4.65074
39,Learn Advanced Python Programming,816,4.52237
40,Python for Absolute Beginners: Learn Python in a Week!,1255,4.205572
41,Python for Beginners: Learn Python Programming (Python 3),32027,4.485279
42,NLP - Natural Language Processing with Python,12087,4.6332507
43,Python 3: Deep Dive (Part 4 - OOP),2120,4.8351173
44,API and Web Service Introduction,20650,4.546088
45,Spark and Python for Big Data with PySpark,19903,4.5411596
46,The Data Analyst Course: Complete Data Analyst Bootcamp 2022,5569,4.5469356
47,Python In Practice : 15 Projects to Master Python,1399,4.694247
48,Learn Advanced Python Programming,205,4.6596394
49,The Complete Python Masterclass : Become a Python Engineer,270,4.533944
50,Python for Absolute Beginners | Python Beginner to Pro 2022,4615,4.5850525
51,Interactive Python Dashboards with Plotly and Dash,7837,4.6513433
52,Programming with Python : HandsOn Introduction for Beginners,11325,4.386352
53,Python for Excel: Use xlwings for Data Science and Finance,668,4.7486763
54,"Python Hands-On 46 Hours, 210 Exercises, 5 Projects, 2 Exams",486,4.3305597
55,DP-100: A-Z Machine Learning using Azure Machine Learning,5744,4.546381
56,The Complete Python Masterclass: Learn Python From Scratch,6850,4.3929453
57,Python for Beginners - Learn Programming from scratch,2145,4.3073993
58,Python 3: Deep Dive (Part 3 - Hash Maps),1216,4.8894577
59,Python for Computer Vision with OpenCV and Deep Learning,8614,4.5889177
